id,date,description,counterparty,account,debit,credit,category,source,created_at
236,2026-03-12,Payment to Tanveer drum,Tanveer drum,Bank,0.0,150000.0,Accounts Payable Payment,xlsm,2026-04-21 07:01:25
237,2026-03-12,Purchase Steel drum 200L - dented - with lacquer from Tanveer drum,Tanveer drum,Bank,33000.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
238,2026-03-12,Purchase Steel drum 200L - rusty  from SCADA Port Qasim,SCADA Port Qasim,Bank,98000.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
239,2026-03-12,Payment to SCADA Port Qasim,SCADA Port Qasim,Bank,0.0,466500.0,Accounts Payable Payment,xlsm,2026-04-21 07:01:25
240,2026-03-12,"Purchase Steel drum 200L - with lacquer - once used, inside and outside clean  from Tanveer drum",Tanveer drum,Bank,192500.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
241,2026-03-12,"Purchase Steel drum 200L - with lacquer - once used, inside and outside clean  from SCADA Port Qasim",SCADA Port Qasim,Bank,368500.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
242,2026-03-12,"Purchase Steel drum 200L - without lacquer - once used, inside and outside clean  from Tanveer drum",Tanveer drum,Bank,25200.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
243,2026-03-13,Sold Plastic IBCs 1000L to HTG Chor,HTG Chor,Bank,0.0,495600.0,Sales - IBC Tanks,xlsm,2026-04-21 07:01:25
244,2026-03-13,"Sold Steel drum 200L - without lacquer - once used, inside and outside clean  to Anjum Chemical- Pak petro",Anjum Chemical- Pak petro,Bank,0.0,672600.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
245,2026-03-13,"Sold Steel drum 200L - without lacquer - once used, inside and outside clean  to Anjum Chemical- Pak petro",Anjum Chemical- Pak petro,Bank,0.0,672600.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
246,2026-03-13,Sold Plastic drum O/M 120L  to Polymer international,Polymer international,Bank,0.0,501500.0,Sales - Plastic Drums,xlsm,2026-04-21 07:01:25
247,2026-03-14,"Sold Steel drum 200L - with lacquer - once used, inside and outside clean  to Waseem resin",Waseem resin,Bank,0.0,738375.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
